initial;code;name
A;971;Axo
A;972;Axt
A;973;Aya
A;974;Ayc
A;975;Ayd
A;976;Aye
A;977;Ayers
A;978;Ayl
A;979;Aylm
A;981;Aylw
A;982;Aym
A;983;Ayn
A;984;Ayr
A;985;Ayres
A;986;Ayrt
A;987;Ays
A;988;Ayt
A;989;Ayton
A;991;Aza
A;992;Azar
A;993;Aze
A;994;Azev
A;995;Azi
A;996;Azo
A;997;Azr
A;998;Azy
A;999;Azz
B;111;Ba
B;112;Bab
B;113;Babe
B;114;Babi
B;115;Babr
B;116;Bac
B;117;Bacci
B;118;Bach
B;119;Bache
B;121;Bachell
B;122;Bachet
B;123;Bachi
B;124;Bachm
B;125;Baci
B;126;Back
B;127;Bacm
B;128;Baco
B;129;Bacon, M.
B;131;Bacr
B;132;Bad
B;133;Bade
B;134;Baden
B;135;Badg
B;136;Badi
B;137;Bado
B;138;Badr
B;139;Bae
B;141;Baer
B;142;Baert
B;143;Baf
B;144;Bag
B;145;Bagi
B;146;Bagl
B;147;Bagn
B;148;Bago
B;149;Bags
B;151;Bah
B;152;Bai
B;153;Bail
B;154;Baile
B;155;Bailey, L.
B;156;Bailey, S.
B;157;Baill
B;158;Baillo
B;159;Bails
B;161;Baily
B;162;Bain
B;163;Bair
B;164;Bait
B;165;Baj
B;166;Bak
B;167;Bake
B;168;Baker, M.
B;169;Baks
B;171;Bal
B;172;Balb
B;173;Balbo
B;174;Balc
B;175;Bald
B;176;Balder
B;177;Baldi
B;178;Baldo
B;179;Baldu
B;181;Baldw
B;182;Baldwin, M.
B;183;Bale
B;184;Bales
B;185;Balf
B;186;Bali
B;187;Ball
B;188;Balla
B;189;Ballar
B;191;Balle
B;192;Balli
B;193;Ballo
B;194;Balm
B;195;Balo
B;196;Bals
B;197;Balt
B;198;Balu
B;199;Bam
B;211;Bamp
B;212;Ban
B;213;Banc
B;214;Band
B;215;Bane
B;216;Bang
B;217;Bani
B;218;Bank
B;219;Bann
B;221;Bao
B;222;Bap
B;223;Bar
B;224;Barag
B;225;Baran
B;226;Barat
B;227;Barau
B;228;Barb
B;229;Barbar
B;231;Barbat
B;232;Barbau
B;233;Barbe
B;234;Barber
B;235;Barbet
B;236;Barbi
B;237;Barbil
B;238;Barbo
B;239;Barbou
B;241;Barbu
B;242;Barc
B;243;Barch
B;244;Barcl
B;245;Bard
B;246;Bardi
B;247;Bardo
B;248;Bare
B;249;Barf
B;251;Barg
B;252;Bari
B;253;Barin
B;254;Bark
B;255;Barker
B;256;Barki
B;257;Barl
B;258;Barlo
B;259;Barn
B;261;Barnes
B;262;Barnh
B;263;Barnu
B;264;Baro
B;265;Baron
B;266;Baroni
B;267;Barot
B;268;Barr
B;269;Barras
B;271;Barre
B;272;Barrer
B;273;Barret
B;274;Barrett
B;275;Barri
B;276;Barrin
B;277;Barro
B;278;Barrow
B;279;Barry
B;281;Barry, L.
B;282;Bars
B;283;Bart
B;284;Barth
B;285;Barthel
B;286;Bartho
B;287;Bartholo
B;288;Barti
B;289;Bartl
B;291;Bartlett, M.
B;292;Barto
B;293;Barton
B;294;Bartr
B;295;Baru
B;296;Barw
B;297;Bas
B;298;Basc
B;299;Base
B;311;Basi
B;312;Basili
B;313;Basin
B;314;Basir
B;315;Bask
B;316;Basn
B;317;Bass
B;318;Basse
B;319;Basset
B;321;Bassi
B;322;Basso
B;323;Bassu
B;324;Bast
B;325;Baste
B;326;Basti
B;327;Basto
B;328;Bat
B;329;Bates
B;331;Bath
B;332;Bathu
B;333;Bati
B;334;Bato
B;335;Batt
B;336;Batti
B;337;Bau
B;338;Baud
B;339;Baudio
B;341;Baudo
B;342;Baudr
B;343;Baudu
B;344;Baue
B;345;Bauf
B;346;Baug
B;347;Baum
B;348;Baumg
B;349;Baun
B;351;Baur
B;352;Baut
B;353;Bav
B;354;Bavi
B;355;Bax
B;356;Bay
B;357;Baye
B;358;Bayl
B;359;Bayly
B;361;Bayn
B;362;Baz
B;363;Bazi
B;364;Bazo
B;365;Be
B;366;Beal
B;367;Bean
B;368;Bear
B;369;Beat
B;371;Beau
B;372;Beauch
B;373;Beaucl
B;374;Beauf
B;375;Beaug
B;376;Beauh
B;377;Beaul
B;378;Beaum
B;379;Beaumo
B;381;Beaun
B;382;Beaup
B;383;Beaur
B;384;Beaus
B;385;Beauv
B;386;Beauvo
B;387;Beb
B;388;Bec
B;389;Bece
B;391;Bech
B;392;Bechs
B;393;Beck
B;394;Becke
B;395;Becker
B;396;Becker, P.
B;397;Becki
B;398;Becm
B;399;Bed
B;411;Bede
B;412;Bedi
B;413;Bedr
B;414;Bee
B;415;Beer
B;416;Beg
B;417;Begi
B;418;Begu
B;419;Beh
B;421;Behr
B;422;Bei
B;423;Beis
B;424;Bek
B;425;Bel
B;426;Belan
B;427;Belch
B;428;Bele
B;429;Belg
B;431;Beli
B;432;Belk
B;433;Bell
B;434;Bell, L.
B;435;Bell, R.
B;436;Bellan
B;437;Bellav
B;438;Belle
B;439;Belleg
B;441;Bellen
B;442;Beller
B;443;Belli
B;444;Bellin
B;445;Bellm
B;446;Bello
B;447;Bellon
B;448;Bellow
B;449;Bellu
B;451;Belm
B;452;Belo
B;453;Belt
B;454;Belv
B;455;Bem
B;456;Ben
B;457;Benc
B;458;Bend
B;459;Bendo
B;461;Bene
B;462;Benede
B;463;Benedi
B;464;Benef
B;465;Benel
B;466;Beng
B;467;Beni
B;468;Benj
B;469;Benn
B;471;Bennett
B;472;Bennett, M.
B;473;Beno
B;474;Bens
B;475;Bent
B;476;Benth
B;477;Bentl
B;478;Bento
B;479;Benw
B;481;Beo
B;482;Ber
B;483;Berar
B;484;Berau
B;485;Berc
B;486;Berck
B;487;Bere
B;488;Beren
B;489;Berens
B;491;Beres
B;492;Beret
B;493;Berg
B;494;Bergan
B;495;Berge
B;496;Berger
B;498;Bergi
B;499;Bergm
B;497;Berh
B;511;Beri
B;512;Berk
B;513;Berkl
B;514;Berl
B;515;Berlin
B;516;Berm
B;517;Bern
B;518;Bernar
B;519;Bernard, J.
B;521;Bernard, M.
B;522;Bernard, T.
B;523;Bernardi
B;524;Bernat
B;525;Berne
B;526;Bernet
B;527;Bernh
B;528;Berni
B;529;Berno
B;531;Berns
B;532;Bero
B;533;Berr
B;534;Berry
B;535;Bers
B;536;Bert
B;537;Berte
B;538;Berth
B;539;Berthe
B;541;Berthi
B;542;Bertho
B;543;Berti
B;544;Bertin
B;545;Berto
B;546;Bertol
B;547;Berton
B;548;Bertr
B;549;Bertrand, F.
B;551;Bertrand, N.
B;552;Bertu
B;553;Berw
B;554;Bes
B;555;Besl
B;556;Beso
B;557;Bess
B;558;Bessem
B;559;Bessi
B;561;Best
B;562;Bet
B;563;Bethm
B;564;Beto
B;565;Bett
B;566;Beu
B;567;Beul
B;568;Beus
B;569;Beut
B;571;Bev
B;572;Bew
B;573;Bey
B;574;Bez
B;575;Bh
B;576;Bi
B;577;Bian
B;578;Bianco
B;579;Biar
B;581;Bib
B;582;Bibl
B;583;Bic
B;584;Bid
B;585;Bide
B;586;Bie
B;587;Biel
B;588;Bien
B;589;Bies
B;591;Bif
B;592;Big
B;593;Bigl
B;594;Bigo
B;595;Bil
B;596;Bill
B;597;Bille
B;598;Billi
B;599;Billo
B;611;Bim
B;612;Bin
B;613;Bing
B;614;Binn
B;615;Bio
B;616;Bior
B;617;Bir
B;618;Bird
B;619;Birk
B;621;Bis
B;622;Bish
B;623;Biss
B;624;Bit
B;625;Biz
B;626;Bj
B;627;Bl
B;628;Blackb
B;629;Blackm
B;631;Blacks
B;632;Blackw
B;633;Blag
B;634;Blai
B;635;Blair
B;636;Blak
B;637;Blakes
B;638;Blan
B;639;Blanch
B;641;Blanche
B;642;Bland
B;643;Blanq
B;644;Blas
B;645;Blau
B;646;Ble
B;647;Blen
B;648;Bli
B;649;Blis
B;651;Blo
B;652;Blod
B;653;Blom
B;654;Blon
B;655;Bloo
B;656;Blos
B;657;Blou
B;658;Blu
B;659;Blunt
B;661;Bly
B;662;Bo
B;663;Bob
B;664;Boc
B;665;Bock
B;666;Bod
B;667;Bodi
B;668;Bodl
B;669;Boe
B;671;Boeh
B;672;Boer
B;673;Boet
B;674;Bog
B;675;Bogi
B;676;Boh
B;677;Bohn
B;678;Boi
B;679;Boil
B;681;Boin
B;682;Bois
B;683;Boisg
B;684;Boiss
B;685;Boit
B;686;Bok
B;687;Bol
B;688;Bole
B;689;Boli
B;691;Boll
B;692;Bolli
B;693;Bolo
B;694;Bolt
B;695;Bom
B;696;Boml
B;697;Bon
B;698;Bonap
B;699;Bonar
B;711;Bond
B;712;Bone
B;713;Bonf
B;714;Bonh
B;715;Boni
B;716;Bonn
B;717;Bonnet
B;718;Bonni
B;719;Bono
B;721;Bons
B;722;Bont
B;723;Bonv
B;724;Boo
B;725;Boot
B;726;Bor
B;727;Bord
B;728;Borden
B;729;Bordi
B;731;Bore
B;732;Borg
B;733;Borgi
B;734;Borgo
B;735;Borl
B;736;Born
B;737;Borr
B;738;Bors
B;739;Bort
B;741;Bos
B;742;Bosch
B;743;Bose
B;744;Boso
B;745;Boss
B;746;Bossu
B;747;Bost
